Stall_no,Market_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,month,year,day,loyality_customers,Product_Category_Cosmetics,Product_Category_Educational,Product_Category_Fashion,Product_Category_Home_decor,Product_Category_Hospitality,Product_Category_Organic,Product_Category_Pet_care,Product_Category_Repair,Product_Category_Technology
27.0,451,0,16,0.0,317.0,16.0,4757.0,7174.0,6291.410796,10,2015,20,0,0,0,0,0,0,0,0,0,0
40.0,198,0,93,0.0,215.0,7.0,3165.0,4178.0,3833.0673920000004,09,2015,26,1,0,0,0,0,0,0,0,1,0
18.0,451,0,22,0.0,297.0,11.0,8289.0,11444.0,10148.914125,11,2015,20,1,0,0,0,0,1,0,0,0,0
32.0,211,0,84,0.0,253.0,17.0,5176.0,7755.0,6632.585344,11,2015,18,1,1,0,0,0,0,0,0,0,0
9.0,283,0,81,0.0,134.0,12.0,5673.0,9323.0,7530.9696,05,2015,09,1,0,1,0,0,0,0,0,0,0
9.0,236,0,8,0.0,130.0,8.0,1266.0,8600.0,5066.443305,05,2015,07,1,0,0,0,0,0,0,1,0,0
36.0,23,2,27,0.0,251.0,7.0,1077.0,2207.0,1889.414625,08,2015,21,1,0,0,0,0,1,0,0,0,0
25.0,63,1,44,0.0,147.0,5.0,5824.0,8860.0,7444.716912000001,03,2016,01,1,0,0,0,0,0,0,1,0,0
16.0,3,0,66,0.0,266.0,13.0,990.0,3013.0,2247.399,09,2015,22,1,1,0,0,0,0,0,0,0,0
35.0,165,0,23,0.0,222.0,14.0,4818.0,7435.0,6341.1873,08,2015,16,1,1,0,0,0,0,0,0,0,0
17.0,101,0,19,0.0,252.0,9.0,950.0,1580.0,1563.9835859999994,08,2015,19,0,0,0,0,0,0,0,0,1,0
33.0,101,0,85,0.0,104.0,9.0,1179.0,1753.0,1548.692992,08,2015,19,0,0,0,0,0,0,1,0,0,0
29.0,423,0,12,0.0,280.0,8.0,4843.0,8913.0,7162.78365,08,2015,17,0,0,0,0,0,0,0,0,1,0
5.0,14,0,61,0.0,323.0,14.0,5682.0,5634.0,7056.7299,11,2015,19,1,0,0,0,0,0,0,0,0,0
8.0,451,0,45,0.0,262.0,13.0,4526.0,6800.0,5894.392896,09,2015,26,0,0,0,0,1,0,0,0,0,0
25.0,11,3,85,1.0,166.0,7.0,558.0,1469.0,174.4822464,03,2016,28,1,0,0,0,0,0,0,1,0,0
40.0,24,0,88,1.0,170.0,16.0,7236.0,9829.0,1288.595616,03,2016,27,1,0,1,0,0,0,0,0,0,0
23.0,443,0,34,1.0,339.0,5.0,5975.0,8226.0,1113.66635625,08,2015,18,1,0,0,0,0,1,0,0,0,0
23.0,451,0,31,0.0,222.0,13.0,6057.0,7466.0,6974.809275,11,2015,19,0,0,0,0,1,0,0,0,0,0
1.0,211,0,15,0.0,260.0,8.0,497.0,7855.0,4438.896065999998,03,2016,29,1,0,0,0,0,0,0,0,1,0
24.0,58,1,55,0.0,374.0,17.0,3538.0,4756.0,4499.0704799999985,11,2015,12,1,0,0,1,0,0,0,0,0,0
36.0,62,0,71,1.0,251.0,1.0,1968.0,6703.0,681.159105,11,2015,04,1,0,0,0,0,0,0,0,1,0
4.0,58,0,48,0.0,134.0,13.0,3218.0,4443.0,3944.075328,09,2015,16,0,0,1,0,0,0,0,0,0,0
38.0,283,0,82,1.0,470.0,9.0,2371.0,6303.0,711.2434559999997,05,2015,05,0,0,0,0,0,0,0,0,0,1
39.0,55,0,31,0.0,374.0,16.0,1842.0,3179.0,2881.2987,09,2015,25,1,0,0,1,0,0,0,0,0,0
42.0,58,0,57,0.0,363.0,11.0,7425.0,10250.0,9151.274592,03,2016,28,1,0,0,1,0,0,0,0,0,0
5.0,469,0,46,0.0,252.0,13.0,7137.0,8866.0,8211.011040000001,03,2016,21,1,1,0,0,0,0,0,0,0,0
41.0,350,3,69,0.0,158.0,10.0,6646.0,9290.0,8052.6303,08,2015,17,1,0,0,0,0,0,0,1,0,0
30.0,469,0,14,0.0,477.0,8.0,3557.0,4742.0,4629.357018,09,2015,26,0,0,0,0,0,0,0,0,0,1
14.0,1,0,41,1.0,136.0,3.0,3574.0,4756.0,641.20734,02,2014,21,0,0,0,0,0,0,0,1,0,0
46.0,27,0,60,0.0,111.0,10.0,6659.0,9900.0,8209.80745,03,2016,30,1,0,1,0,0,0,0,0,0,0
28.0,55,0,63,0.0,258.0,2.0,4440.0,6490.0,5666.8491,05,2015,07,1,0,0,0,0,0,0,0,1,0
31.0,447,0,12,0.0,326.0,7.0,1587.0,4420.0,3331.26684,11,2015,01,0,0,0,0,0,0,0,0,0,0
14.0,38,3,49,0.0,152.0,12.0,4198.0,8015.0,6225.728688,03,2016,29,1,0,1,0,0,0,0,0,0,0
2.0,268,2,28,0.0,340.0,9.0,945.0,2956.0,4210.38464,09,2015,24,1,0,0,0,0,1,0,0,0,0
27.0,441,0,80,0.0,241.0,12.0,3020.0,4383.0,3858.13385,09,2015,23,0,0,0,0,1,0,0,0,0,0
43.0,451,0,87,0.0,458.0,13.0,4724.0,6418.0,5949.318144,11,2015,12,1,0,0,0,0,0,0,0,0,1
9.0,165,0,93,0.0,258.0,9.0,3662.0,5596.0,4820.7371520000015,05,2015,09,1,0,0,0,0,0,0,0,1,0
49.0,11,3,77,0.0,183.0,10.0,567.0,1309.0,1110.7206,05,2015,09,1,0,0,0,0,0,0,1,0,0
22.0,423,0,6,0.0,101.0,6.0,5509.0,9435.0,7576.722252,08,2015,17,1,0,0,0,0,0,1,0,0,0
12.0,358,3,21,0.0,105.0,8.0,2945.0,8553.0,5843.9535,03,2016,30,0,0,0,0,0,0,1,0,0,0
10.0,14,0,80,0.0,248.0,15.0,3278.0,4593.0,4095.1385,05,2015,05,1,1,0,0,0,0,0,0,0,0
29.0,55,0,95,0.0,214.0,12.0,4100.0,5368.0,4882.347008,11,2015,17,1,1,0,0,0,0,0,0,0,0
21.0,85,2,89,1.0,240.0,15.0,1805.0,2627.0,363.5858688,08,2015,16,1,0,0,0,1,0,0,0,0,0
12.0,3,0,32,0.0,369.0,14.0,1247.0,5634.0,2632.572075,09,2015,23,1,0,0,1,0,0,0,0,0,0
20.0,230,1,76,0.0,247.0,14.0,8227.0,10814.0,9683.0217,03,2016,28,1,1,0,0,0,0,0,0,0,0
5.0,14,0,51,0.0,155.0,7.0,3339.0,4327.0,3965.139648,08,2015,22,1,0,0,0,0,0,0,1,0,0
32.0,451,0,73,0.0,158.0,2.0,4795.0,6572.0,5784.2136,09,2015,22,0,0,0,0,0,0,0,1,0,0
43.0,111,1,86,0.0,210.0,14.0,1129.0,3142.0,2314.671744,09,2015,23,1,0,0,0,1,0,0,0,0,0
34.0,65,2,68,0.0,266.0,7.0,3271.0,5304.0,4510.935,11,2015,14,1,0,0,0,0,0,0,0,1,0
17.0,23,1,70,0.0,295.0,16.0,2710.0,5516.0,4370.4342,09,2015,22,1,0,0,0,0,0,0,0,0,0
50.0,103,1,17,0.0,328.0,10.0,3790.0,6945.0,5699.759967,08,2015,21,1,0,0,0,0,0,0,0,0,0
45.0,0,0,45,1.0,230.0,17.0,1546.0,3162.0,385.71552,10,2015,17,0,1,0,0,0,0,0,0,0,0
12.0,165,0,52,0.0,263.0,13.0,3514.0,5021.0,4507.0192799999995,11,2015,21,1,0,0,0,0,0,0,0,0,0
19.0,24,0,75,0.0,104.0,9.0,8262.0,5634.0,9766.1322,11,2015,20,0,0,0,0,0,0,0,1,0,0
5.0,110,0,77,0.0,258.0,4.0,710.0,999.0,1101.7116,08,2015,20,1,0,0,0,0,0,0,0,1,0
42.0,83,1,87,0.0,259.0,1.0,4480.0,9795.0,7290.690176000001,03,2016,29,1,0,0,0,0,0,0,0,1,0
40.0,443,0,93,0.0,202.0,1.0,5708.0,7571.0,6743.632895999999,11,2015,15,1,0,0,0,0,0,0,0,1,0
16.0,14,0,7,1.0,173.0,7.0,3295.0,4992.0,647.845209,05,2015,05,0,0,1,0,0,0,0,0,0,0
36.0,447,0,75,1.0,267.0,10.0,5231.0,8004.0,1023.3313199999999,08,2015,17,1,0,0,0,0,0,0,0,0,0
28.0,58,0,12,0.0,212.0,12.0,3645.0,4612.0,4345.015455,08,2015,23,0,1,0,0,0,0,0,0,0,0
1.0,93,2,48,1.0,273.0,6.0,4535.0,7531.0,940.3857648000001,03,2016,16,1,0,0,0,0,0,0,0,0,0
18.0,275,0,79,0.0,254.0,5.0,4489.0,5929.0,5410.944,02,2016,29,0,0,0,0,0,0,0,0,1,0
2.0,131,0,74,0.0,363.0,12.0,2085.0,6513.0,4620.4884,03,2016,29,0,0,0,1,0,0,0,0,0,0
8.0,447,0,46,1.0,287.0,10.0,4568.0,6014.0,832.1335416000003,07,2015,22,1,0,0,0,1,0,0,0,0,0
11.0,452,0,72,0.0,468.0,6.0,3067.0,4426.0,4174.5825,09,2015,23,1,0,0,0,0,0,0,0,0,1
38.0,186,0,17,0.0,274.0,14.0,4487.0,8784.0,6918.098120999999,03,2016,29,1,0,0,0,0,0,0,0,0,0
28.0,23,1,68,0.0,165.0,1.0,3582.0,5581.0,4699.4904,08,2015,23,1,0,0,0,0,0,0,1,0,0
16.0,1,0,47,0.0,133.0,5.0,5230.0,7878.0,6647.462208,11,2014,01,1,0,0,0,0,0,1,0,0,0
39.0,452,0,56,0.0,507.0,16.0,4139.0,5638.0,5368.738752,11,2015,14,1,0,0,0,0,0,0,0,0,1
30.0,451,0,53,0.0,252.0,17.0,4627.0,5634.0,5512.304016,09,2015,22,1,0,0,1,0,0,0,0,0,0
30.0,205,0,9,0.0,259.0,13.0,3157.5,3224.0,2939.186052,08,2015,23,1,0,0,0,0,1,0,0,0,0
22.0,60,3,17,0.0,148.0,17.0,247.0,1337.0,941.2558650000001,03,2016,27,1,0,1,0,0,0,0,0,0,0
33.0,358,3,1,0.0,379.0,14.0,6796.0,12106.0,9842.245676999999,03,2016,19,1,0,0,1,0,0,0,0,0,0
36.0,63,1,61,0.0,283.0,3.0,2006.0,11705.0,7069.1544,08,2015,19,0,0,0,0,0,0,0,0,1,0
36.0,14,0,91,0.0,130.0,8.0,3724.0,4529.0,4198.45888,09,2015,26,0,0,0,0,0,0,1,0,0,0
23.0,24,0,76,0.0,314.0,11.0,7017.0,10671.0,9076.0527,03,2016,28,1,0,0,0,0,0,0,0,0,0
8.0,441,2,80,0.0,208.0,14.0,3617.0,5321.0,4577.88665,05,2015,07,0,1,0,0,0,0,0,0,0,0
47.0,199,0,5,0.0,252.0,17.0,4071.0,7530.0,6061.753764,02,2016,06,1,1,0,0,0,0,0,0,0,0
30.0,73,0,66,0.0,292.0,17.0,2231.0,3321.0,3041.9928,01,2016,04,0,1,0,0,0,0,0,0,0,0
26.0,443,0,65,0.0,157.0,7.0,4871.0,6745.0,5909.3793,11,2015,13,1,0,0,0,0,0,0,1,0,0
2.0,255,2,32,0.0,280.0,10.0,124.0,604.0,642.7491,03,2016,30,0,0,0,0,1,0,0,0,0,0
24.0,13,3,28,0.0,188.0,7.0,365.0,2127.0,1431.282825,09,2015,23,1,0,0,0,0,0,0,1,0,0
20.0,24,0,49,0.0,357.0,17.0,5764.0,7916.0,7162.494768000001,03,2016,10,1,0,0,1,0,0,0,0,0,0
4.0,0,0,43,1.0,342.0,9.0,8648.0,12706.0,1643.7040344,03,2016,27,1,0,0,0,0,0,0,0,0,0
33.0,3,0,68,0.0,205.0,8.0,1693.0,2929.0,2492.6715,09,2015,08,0,0,0,0,0,0,0,0,1,0
7.0,23,1,57,0.0,139.0,9.0,2587.0,4660.0,3741.6591359999998,09,2015,22,0,0,0,0,0,0,1,0,0,0
46.0,447,0,23,0.0,325.0,9.0,2630.0,5634.0,3526.551525,09,2015,23,1,0,0,0,0,1,0,0,0,0
31.0,423,0,34,0.0,142.0,5.0,3291.0,8577.0,6063.772575,08,2015,19,1,0,0,0,0,0,1,0,0,0
24.0,192,0,69,1.0,260.0,7.0,2219.0,6851.0,712.528245,01,2016,05,1,0,0,0,0,0,0,0,0,0
45.0,407,0,86,0.0,208.0,11.0,3157.5,4378.0,3375.7095679999998,05,2015,07,0,0,0,0,1,0,0,0,0,0
26.0,62,0,70,0.0,290.0,7.0,2895.0,12275.0,7801.5069,11,2015,12,1,0,0,0,0,0,0,0,0,0
31.0,116,0,71,0.0,284.0,11.0,3354.0,4345.0,4096.3527,03,2016,30,1,0,0,0,0,1,0,0,0,0
12.0,58,1,28,0.0,122.0,15.0,2745.0,4082.0,3531.76845,09,2015,25,0,0,1,0,0,0,0,0,0,0
43.0,97,0,76,0.0,146.0,16.0,2552.0,6943.0,4852.089,03,2016,29,1,0,1,0,0,0,0,0,0,0
29.0,14,0,82,0.0,398.0,17.0,3589.0,5164.0,4713.080064,11,2015,02,0,0,0,1,0,0,0,0,0,0
49.0,24,0,7,0.0,235.0,16.0,5563.0,7986.0,7019.6379659999975,03,2016,16,0,1,0,0,0,0,0,0,0,0
4.0,55,0,97,0.0,253.0,16.0,838.0,2685.0,1988.270592,08,2015,21,1,0,0,0,1,0,0,0,0,0
50.0,447,0,94,0.0,282.0,9.0,3220.0,4545.0,4107.970944,05,2015,07,0,0,0,0,0,1,0,0,0,0
10.0,115,0,78,0.0,112.0,5.0,3170.0,4319.0,3819.7863,03,2016,30,0,0,0,0,0,0,1,0,0,0
19.0,162,1,65,0.0,267.0,1.0,4224.0,5782.0,5217.795,09,2015,25,0,0,0,0,0,0,0,0,1,0
33.0,14,0,90,0.0,130.0,2.0,4431.0,5634.0,5398.200192,08,2015,16,0,0,0,0,0,0,0,1,0,0
12.0,37,2,86,0.0,131.0,17.0,7426.0,10131.0,8795.908352,03,2016,30,0,0,1,0,0,0,0,0,0,0
37.0,3,0,18,0.0,225.0,8.0,2303.0,3486.0,3121.507818,09,2015,25,1,0,0,0,0,0,0,0,1,0
13.0,24,0,97,1.0,113.0,5.0,4272.0,5930.0,771.214752,11,2015,13,1,0,0,0,0,0,1,0,0,0
3.0,113,0,46,0.0,465.0,7.0,1491.0,3778.0,3081.491424,09,2015,22,1,0,0,0,0,0,0,0,0,1
19.0,100,0,66,0.0,127.0,6.0,1169.0,2825.0,2103.948,09,2015,23,0,0,1,0,0,0,0,0,0,0
9.0,74,0,16,0.0,263.0,10.0,2847.0,5634.0,3655.024461,09,2015,22,1,0,0,0,1,0,0,0,0,0
11.0,3,0,19,0.0,379.0,13.0,2837.0,4190.0,3896.680293,11,2015,01,0,0,0,1,0,0,0,0,0,0
30.0,57,0,2,0.0,255.0,16.0,5110.0,8108.0,6873.882543000002,03,2016,08,1,0,0,0,0,0,0,0,0,0
11.0,24,0,1,0.0,169.0,10.0,6425.0,8983.0,7879.9119299999975,08,2015,19,1,0,0,0,0,0,0,1,0,0
21.0,57,0,12,0.0,372.0,11.0,2812.0,8121.0,5843.925549000001,02,2016,20,1,0,0,1,0,0,0,0,0,0
21.0,443,0,94,0.0,250.0,10.0,5692.0,8117.0,7058.27584,08,2015,15,1,0,0,0,1,0,0,0,0,0
12.0,70,2,89,0.0,265.0,14.0,1419.0,4248.0,3057.794432,08,2015,20,0,0,0,0,1,0,0,0,0,0
23.0,268,2,5,0.0,147.0,9.0,786.0,1934.0,1508.069178,08,2015,21,1,0,0,0,0,0,1,0,0,0
28.0,58,0,86,0.0,273.0,15.0,5497.0,7865.0,6863.738112000001,08,2015,17,1,0,0,0,0,0,0,0,0,0
6.0,451,0,84,0.0,217.0,15.0,5801.0,7990.0,7020.271104,11,2015,19,1,0,0,0,1,0,0,0,0,0
5.0,444,1,69,1.0,216.0,5.0,5934.0,8806.0,1127.0674800000004,08,2015,15,1,0,0,0,0,0,0,0,1,0
42.0,24,0,36,0.0,288.0,12.0,3771.0,4675.0,4504.779825,09,2015,24,0,0,0,0,1,0,0,0,0,0
9.0,452,0,50,0.0,127.0,5.0,6107.0,8361.0,7317.486432,11,2015,19,1,0,0,0,0,0,0,1,0,0
5.0,3,0,47,0.0,330.0,7.0,4106.0,5371.0,5039.3603520000015,03,2016,29,1,0,0,0,0,0,0,0,0,0
16.0,146,2,68,0.0,250.0,5.0,3157.5,5634.0,2079.9207,09,2015,22,1,0,0,0,0,0,0,0,1,0
20.0,204,0,60,0.0,252.0,15.0,4237.0,6587.0,5544.4973,03,2016,07,0,1,0,0,0,0,0,0,0,0
34.0,452,0,58,1.0,253.0,10.0,3625.0,5198.0,695.8543463999997,01,2016,07,1,0,0,0,1,0,0,0,0,0
2.0,23,2,12,1.0,274.0,12.0,1168.0,4122.0,438.28166745,09,2015,23,0,1,0,0,0,0,0,0,0,0
26.0,367,0,78,0.0,204.0,15.0,2592.0,5634.0,3657.2877,08,2015,23,1,1,0,0,0,0,0,0,0,0
18.0,114,0,21,0.0,174.0,10.0,840.0,3524.0,2352.28455,08,2015,20,1,0,0,0,0,0,0,1,0,0
46.0,73,0,5,0.0,221.0,17.0,2843.0,4289.0,3792.6806939999997,05,2015,07,1,0,0,0,1,0,0,0,0,0
7.0,24,0,99,0.0,257.0,7.0,4573.0,6063.0,5498.386432,02,2016,22,0,0,0,0,0,0,0,0,0,0
35.0,55,0,30,0.0,258.0,15.0,4460.0,6441.0,5702.3883,05,2015,07,0,0,0,0,1,0,0,0,0,0
1.0,83,0,5,0.0,247.0,14.0,1833.0,9337.0,5839.236018,03,2016,28,1,1,0,0,0,0,0,0,0,0
3.0,268,0,16,0.0,287.0,15.0,1506.0,3896.0,2991.750795,01,2016,24,1,1,0,0,0,0,0,0,0,0
6.0,79,0,24,0.0,100.0,5.0,1317.0,1907.0,1708.527975,08,2015,21,1,0,1,0,0,0,0,0,0,0
15.0,268,0,1,0.0,113.0,6.0,1732.0,3234.0,2597.230251,01,2016,23,1,0,0,0,0,0,1,0,0,0
39.0,23,0,72,0.0,356.0,14.0,4533.0,7840.0,6485.6484,08,2015,21,1,0,0,1,0,0,0,0,0,0
40.0,1,0,79,1.0,209.0,8.0,1333.0,5013.0,502.60419,02,2016,24,0,0,0,0,0,1,0,0,0,0
13.0,58,0,29,0.0,349.0,12.0,4071.0,5621.0,5187.81795,08,2015,22,0,0,0,0,0,1,0,0,0,0
29.0,80,2,27,0.0,110.0,7.0,6211.0,11544.0,8971.225725,03,2016,28,1,0,0,0,0,0,1,0,0,0
9.0,469,0,60,0.0,259.0,17.0,4355.0,5634.0,5253.26095,05,2015,06,1,1,0,0,0,0,0,0,0,0
22.0,24,0,77,0.0,119.0,6.0,6381.0,9533.0,7999.9623,08,2015,18,1,0,0,0,0,0,0,1,0,0
39.0,70,2,98,0.0,252.0,16.0,3225.0,5287.0,4592.708736,11,2015,20,0,0,0,1,0,0,0,0,0,0
27.0,443,0,56,0.0,206.0,15.0,2761.0,3963.0,3550.1725439999996,09,2015,23,1,1,0,0,0,0,0,0,0,0
45.0,451,0,32,0.0,166.0,9.0,6068.0,8070.0,7223.2566,11,2015,19,0,0,0,0,0,0,0,1,0,0
20.0,121,0,98,0.0,130.0,8.0,1193.0,3728.0,2555.138432,01,2016,20,1,0,1,0,0,0,0,0,0,0
33.0,39,3,16,0.0,363.0,12.0,2978.0,5626.0,4669.692984,05,2015,05,1,0,0,1,0,0,0,0,0,0
28.0,445,0,85,0.0,148.0,8.0,7184.0,9732.0,8488.746112,11,2015,18,0,0,0,0,0,0,1,0,0,0
25.0,459,0,64,0.0,355.0,12.0,6050.0,9081.0,7850.2842,12,2014,06,0,0,0,1,0,0,0,0,0,0
21.0,1,0,12,0.0,100.0,17.0,1515.0,5353.0,3539.486016,03,2016,05,0,0,1,0,0,0,0,0,0,0
5.0,70,2,74,0.0,143.0,7.0,1305.0,5650.0,3586.7007,12,2015,01,1,0,0,0,0,0,1,0,0,0
41.0,463,0,56,0.0,136.0,7.0,1571.0,3392.0,2602.476864,08,2015,16,1,0,0,0,0,0,1,0,0,0
43.0,70,2,96,0.0,225.0,12.0,5761.0,11896.0,8933.567104000002,11,2015,19,0,0,0,0,0,1,0,0,0,0
8.0,443,0,29,0.0,299.0,14.0,3582.0,4898.0,4533.57765,09,2015,26,0,0,0,0,1,0,0,0,0,0
43.0,55,0,7,1.0,329.0,11.0,2428.0,5936.0,677.2722660000002,02,2016,04,1,0,0,0,0,1,0,0,0,0
30.0,454,0,77,0.0,209.0,12.0,2621.0,5024.0,3995.7291,05,2015,05,1,1,0,0,0,0,0,0,0,0
34.0,358,3,10,0.0,353.0,12.0,1758.0,6758.0,4615.648389,09,2015,26,0,0,0,1,0,0,0,0,0,0
50.0,141,0,5,0.0,205.0,13.0,4444.0,5511.0,5188.451103,08,2015,15,1,0,0,0,1,0,0,0,0,0
16.0,57,0,91,0.0,307.0,8.0,3467.0,5324.0,4638.253312,10,2015,20,0,0,0,0,0,1,0,0,0,0
46.0,452,0,57,0.0,335.0,11.0,4545.0,5540.0,5348.59848,02,2016,22,0,0,0,0,0,1,0,0,0,0
6.0,38,3,90,0.0,367.0,15.0,4420.0,11059.0,8001.2092159999975,03,2016,29,1,0,0,1,0,0,0,0,0,0
21.0,9,3,47,0.0,253.0,8.0,7258.0,11265.0,9460.969776,05,2015,02,0,0,0,0,0,1,0,0,0,0
4.0,452,0,73,0.0,217.0,6.0,7001.0,9569.0,8421.9003,11,2015,19,0,0,0,0,0,0,0,0,1,0
42.0,3,0,64,1.0,239.0,14.0,3830.0,6169.0,778.95675,03,2016,29,0,1,0,0,0,0,0,0,0,0
24.0,165,0,50,0.0,252.0,16.0,3396.0,5634.0,4405.0858560000015,08,2015,21,1,0,0,1,0,0,0,0,0,0
24.0,55,0,1,0.0,395.0,17.0,979.0,2792.0,2283.481629,09,2015,22,0,0,0,1,0,0,0,0,0,0
45.0,216,0,6,0.0,289.0,1.0,261.0,488.0,663.473646,03,2016,04,0,0,0,0,0,0,0,0,1,0
35.0,93,2,42,0.0,287.0,13.0,4445.0,5634.0,6360.470784,11,2015,17,1,1,0,0,0,0,0,0,0,0
1.0,367,2,77,0.0,290.0,13.0,3024.0,6832.0,5172.1659,03,2016,30,0,0,0,0,1,0,0,0,0,0
15.0,3,0,29,0.0,182.0,8.0,1682.0,2689.0,2363.326875,09,2015,23,1,0,0,0,0,0,0,1,0,0
46.0,452,0,46,0.0,253.0,6.0,4121.0,6150.0,5357.073888,02,2016,21,1,0,0,0,0,0,0,0,1,0
27.0,100,0,82,1.0,122.0,6.0,3029.0,4191.0,552.0596928,09,2015,26,0,0,0,0,0,0,1,0,0,0
36.0,121,0,25,0.0,108.0,4.0,1237.0,3783.0,2612.4525,01,2016,05,1,0,0,0,0,0,0,1,0,0
18.0,63,1,70,0.0,269.0,6.0,1467.0,2483.0,2222.7282,05,2015,08,1,0,0,0,0,0,0,0,0,0
7.0,231,2,6,0.0,165.0,16.0,6204.0,7614.0,7084.341495000002,03,2016,29,1,0,1,0,0,0,0,0,0,0
2.0,14,0,85,0.0,141.0,6.0,5195.0,7772.0,6532.941184,11,2015,18,0,0,0,0,0,0,0,1,0,0
48.0,124,0,66,1.0,233.0,5.0,1991.0,2754.0,387.093465,01,2016,05,0,0,0,0,0,0,0,0,1,0
7.0,443,0,67,0.0,373.0,12.0,3653.0,5239.0,4776.0966,01,2015,21,0,0,0,1,0,0,0,0,0,0
47.0,205,0,62,0.0,124.0,13.0,2579.0,5634.0,3184.8498,12,2015,03,1,0,1,0,0,0,0,0,0,0
36.0,11,3,74,0.0,245.0,15.0,453.0,1169.0,1046.6478,03,2016,06,1,1,0,0,0,0,0,0,0,0
26.0,152,0,32,0.0,191.0,10.0,1704.0,2199.0,2139.088875,09,2015,24,1,0,0,0,0,0,0,1,0,0
23.0,471,2,82,0.0,265.0,6.0,2273.0,3279.0,2998.855552,09,2015,26,0,0,0,0,0,0,0,0,1,0
8.0,445,0,4,0.0,257.0,9.0,3252.0,5335.0,4553.904564,01,2016,05,1,0,0,0,0,0,0,0,0,0
11.0,58,1,27,0.0,137.0,8.0,2806.0,5634.0,3416.068425,09,2015,25,1,0,0,0,0,0,1,0,0,0
13.0,234,1,19,0.0,352.0,11.0,8572.0,12012.0,10654.254468000001,03,2016,29,1,0,0,1,0,0,0,0,0,0
46.0,471,2,20,0.0,220.0,17.0,1879.0,2780.0,2496.00715,09,2015,16,1,1,0,0,0,0,0,0,0,0
3.0,454,0,59,0.0,395.0,12.0,2030.0,4151.0,3466.879056,02,2016,05,1,0,0,1,0,0,0,0,0,0
43.0,24,0,52,0.0,295.0,13.0,3312.0,4748.0,4302.526464000001,05,2015,06,1,1,0,0,0,0,0,0,0,0
47.0,448,0,13,1.0,263.0,7.0,2641.0,3744.0,518.60763405,01,2016,06,0,0,0,0,0,1,0,0,0,0
20.0,452,0,17,0.0,369.0,15.0,3222.0,4601.0,4285.941363,09,2015,26,0,0,0,1,0,0,0,0,0,0
6.0,268,2,14,0.0,335.0,5.0,2506.0,3780.0,3479.2220429999998,03,2016,06,0,0,0,0,0,1,0,0,0,0
50.0,358,3,22,0.0,200.0,7.0,4201.0,6364.0,5472.4845,08,2015,15,1,0,0,0,0,1,0,0,0,0
31.0,315,2,52,0.0,297.0,2.0,1691.0,8780.0,5498.1352799999995,03,2016,29,0,0,0,0,0,0,0,0,1,0
